approach,approach_name,total_reps,total_time_hours,mean_time_sec,median_time_sec,sd_time_sec
1,full_sample,6000,12.258416561418109,7.3550499368508655,2.0536463260650635,20.60302038462183
2,crossfit_separate,5960,46.58525746775998,28.138746121465758,9.223666071891785,55.23952227813601
3,doubletree,5680,47.071851225561566,29.834271903524936,9.942017197608948,86.78084315943708
4,doubletree_averaged,5000,20.21584125465817,14.555405703353882,9.339348196983337,35.130687296500355
5,msplit,5365,147.49609114329022,98.97221400108941,37.52493214607239,200.8926948644354
6,msplit_averaged,2500,24.81778043190638,35.73760382194519,36.104291677474976,13.085529198663277
