"regime","dgp","n","reps","theta0","bias","bias_mcse","rmse","sd_theta","coverage","cov_mcse","ci_width","mean_sigma","rec_e","rec_e_mcse","rec_mu","rec_mu_mcse","rec_both","rec_both_mcse","clip_frac","pct_reps_any_clip"
"F1","f1",2000,1000,0.08,0.000122151413103705,0.000727319466254177,0.0229886827233313,0.0229998609994117,0.946,0.00714730718522718,0.0897959778706488,0.0229075581436567,1,0,1,0,1,0,0,0
"F1","f1",4000,1000,0.08,0.000903143218382899,0.00048787098313125,0.0154465447838079,0.0154278351100034,0.965,0.00581162627841812,0.0635096709512155,0.0162017443820835,1,0,1,0,1,0,0,0
"F1","f1",8000,1000,0.08,0.000169748806862365,0.000370043498014664,0.0116971822628331,0.0117018028706233,0.944,0.00727076337120113,0.0448779099747703,0.0114486567938905,1,0,1,0,1,0,0,0
"ST1","f1",200,1000,0.08,0.000193763234607451,0.00244725662311483,0.0773505879653872,0.0773890494797513,0.933,0.00790638982089803,0.282647334633943,0.0721052368470618,0.376,0.015317441039547,0.587,0.0155701958882989,0.228,0.0132671021704063,0.000404999999999999,0.004
"ST1","f1",500,1000,0.08,0.00151575312793958,0.00141180828765908,0.0446487059835627,0.0446452980850489,0.955,0.00655553201502365,0.180096972811122,0.045943949539814,0.913,0.00891240708226459,0.953,0.00669260786241059,0.871,0.0105999528300837,0,0
"ST1","f1",1000,1000,0.08,-0.00190644464817962,0.000995990650107533,0.0315379122473746,0.0314959898257163,0.952,0.00675988165576884,0.126997515282018,0.03239792064644,0.998,0.00141279864099595,0.997,0.00172945077987204,0.995,0.00223047080231955,0,0
"ST2","f1_weak",200,1000,0.08,-0.00415453966559591,0.00249041333605148,0.0788239597180431,0.07875378457181,0.94,0.00750999334220744,0.295926393217997,0.0754928140394993,0.088,0.00895857131466843,0.097,0.00935900635751467,0.011,0.00329833291224521,0.000114999999999999,0.001
"ST2","f1_weak",500,1000,0.08,-0.00435842037351753,0.00152582390577054,0.0484231998217977,0.0482507885056905,0.942,0.00739161687318817,0.189268061655412,0.0482835560113181,0.395,0.0154588162548107,0.284,0.0142598737722323,0.117,0.010164201887015,0,0
"ST2","f1_weak",1000,1000,0.08,0.00238170213271488,0.00108853973847946,0.0344877709998146,0.0344226489719912,0.954,0.00662449998113065,0.134780765498132,0.0343834801458766,0.799,0.0126727660753286,0.538,0.0157656588825206,0.429,0.0156511660907422,0,0
"ST2","f1_weak",2000,1000,0.08,0.00078593755738514,0.000741822640593386,0.0234599281139341,0.0234584916415558,0.96,0.00619677335393187,0.0951153492716123,0.0242645655792326,0.996,0.00199599599197994,0.881,0.0102390917565964,0.877,0.0103860964755773,0,0
"ST2","f1_weak",4000,1000,0.08,-0.000131823355686393,0.000551755331772513,0.0174398076133414,0.0174480355954301,0.945,0.00720936890441875,0.067157369965828,0.0171322969441165,1,0,0.996,0.00199599599197994,0.996,0.00199599599197994,0,0
"ST2","f1_weak",8000,1000,0.08,0.000585227719166712,0.000381741878298039,0.0120798851926726,0.0120717381369261,0.952,0.00675988165576884,0.0474697479627988,0.0121098521037208,1,0,1,0,1,0,0,0
"ST3","st3_weak_overlap",200,1000,0.1,0.028177384293334,0.00435902703056304,0.140627452946216,0.137844537988196,0.868,0.0107040179372047,0.476754737583446,0.121623341383828,0.381,0.0153570504980611,0,0,0,0,0.078575,0.31
"ST3","st3_weak_overlap",500,1000,0.1,0.000303252690627553,0.00423920915309886,0.133988862640399,0.134055564016259,0.886,0.0100500746265886,0.496355380383337,0.126623597244267,0.899,0.00952885092757778,0,0,0,0,0.080488,0.324
"ST3","st3_weak_overlap",1000,1000,0.1,0.00179748635009182,0.00317068739661235,0.100231912411408,0.100265939216847,0.92,0.00857904423581089,0.389517009897859,0.0993684100754708,0.999,0.000999499874937461,0.002,0.00141279864099595,0.002,0.00141279864099595,0.04429,0.179
"ST3","st3_weak_overlap",2000,1000,0.1,0.00175465509733384,0.00223203833552549,0.0705697665479682,0.0705832496507166,0.935,0.0077958322198467,0.279280922546542,0.0712464424727888,1,0,0.001,0.000999499874937461,0.001,0.000999499874937461,0.0193505,0.077
"ST3","st3_weak_overlap",4000,1000,0.1,0.00200367490749098,0.00158503553166972,0.0501382091039734,0.0501232245237226,0.944,0.00727076337120113,0.198005740659639,0.0505125967164404,1,0,0.012,0.00344325427466517,0.012,0.00344325427466517,0.00624399999999999,0.025
"ST3","st3_weak_overlap",8000,1000,0.1,-0.00130860027993172,0.00109055046699591,0.0344938176407972,0.0344862337906736,0.943,0.00733150734842434,0.139139703089484,0.0354954744543779,1,0,0.05,0.00689202437604511,0.05,0.00689202437604511,0.000491999999999999,0.002
