"regime","dgp","nuisance","n","delta_kl","card_T","lambda_n","penalised_opt_in_S","emp_failure_rate","emp_mcse","bound_c1_1","n_delta2","implied_c1"
"F1","f1","e",2000,0.0254373062697992,356,0.00380045122977104,TRUE,0,0,1,1.29411310052713,NA
"F1","f1","e",4000,0.0254373062697992,356,0.00207351241002551,TRUE,0,0,1,2.58822620105426,NA
"F1","f1","e",8000,0.0254373062697992,356,0.00112339960258275,TRUE,0,0,1,5.17645240210851,NA
"ST1","f1","e",200,0.0254373062697992,356,0.0264915868327402,FALSE,0.102,0.00957057991973318,1,0.129411310052713,63.0370961643696
"ST1","f1","e",500,0.0254373062697992,356,0.0124292161968444,TRUE,0,0,1,0.323528275131782,NA
"ST1","f1","e",1000,0.0254373062697992,356,0.00690775527898214,TRUE,0,0,1,0.647056550263564,NA
"ST2","f1_weak","e",200,0.00250805647433559,356,0.0264915868327402,FALSE,0.973,0.00512552436341883,1,0.00125806945569133,4691.55490656494
"ST2","f1_weak","e",500,0.00250805647433559,356,0.0124292161968444,FALSE,0.894,0.00973468027209934,1,0.00314517363922834,1903.54521606939
"ST2","f1_weak","e",1000,0.00250805647433559,356,0.00690775527898214,FALSE,0.698,0.0145188153786733,1,0.00629034727845667,991.116488659337
"ST2","f1_weak","e",2000,0.00250805647433559,356,0.00380045122977104,FALSE,0.28,0.0141985914794391,1,0.0125806945569133,568.163893839789
"ST2","f1_weak","e",4000,0.00250805647433559,356,0.00207351241002551,TRUE,0.015,0.00384382621875652,1,0.0251613891138267,400.400620297857
"ST2","f1_weak","e",8000,0.00250805647433559,356,0.00112339960258275,TRUE,0,0,1,0.0503227782276534,NA
"ST3","st3_weak_overlap","e",200,0.0214809540661981,155,0.0264915868327402,FALSE,0.619,0.0153570504980611,1,0.0922862775188227,59.8471979985356
"ST3","st3_weak_overlap","e",500,0.0214809540661981,155,0.0124292161968444,TRUE,0.101,0.00952885092757778,1,0.230715693797057,31.7969695009699
"ST3","st3_weak_overlap","e",1000,0.0214809540661981,155,0.00690775527898214,TRUE,0.001,0.000999499874937461,1,0.461431387594114,25.9002328779895
"ST3","st3_weak_overlap","e",2000,0.0214809540661981,155,0.00380045122977104,TRUE,0,0,1,0.922862775188227,NA
"ST3","st3_weak_overlap","e",4000,0.0214809540661981,155,0.00207351241002551,TRUE,0,0,1,1.84572555037645,NA
"ST3","st3_weak_overlap","e",8000,0.0214809540661981,155,0.00112339960258275,TRUE,0,0,1,3.69145110075291,NA
"F1","f1","mu",2000,0.0127186531348996,356,0.00380045122977104,TRUE,0,0,1,0.323528275131782,NA
"F1","f1","mu",4000,0.0127186531348996,356,0.00207351241002551,TRUE,0,0,1,0.647056550263564,NA
"F1","f1","mu",8000,0.0127186531348996,356,0.00112339960258275,TRUE,0,0,1,1.29411310052713,NA
"ST1","f1","mu",200,0.0127186531348996,356,0.0264915868327402,FALSE,0.2,0.0126491106406735,1,0.0323528275131782,231.335843528283
"ST1","f1","mu",500,0.0127186531348996,356,0.0124292161968444,TRUE,0.00900000000000001,0.00298646948753876,1,0.0808820687829455,130.87525568745
"ST1","f1","mu",1000,0.0127186531348996,356,0.00690775527898214,TRUE,0.002,0.00141279864099595,1,0.161764137565891,74.7355935078615
"ST2","f1_weak","mu",200,0.00162175080295384,356,0.0264915868327402,FALSE,0.943,0.00733150734842434,1,0.000526015133376288,11280.3213267175
"ST2","f1_weak","mu",500,0.00162175080295384,356,0.0124292161968444,FALSE,0.862,0.0109066951914867,1,0.00131503783344072,4580.42391328812
"ST2","f1_weak","mu",1000,0.00162175080295384,356,0.00690775527898214,FALSE,0.672,0.0148464137083674,1,0.00263007566688144,2384.88487167688
"ST2","f1_weak","mu",2000,0.00162175080295384,356,0.00380045122977104,FALSE,0.339,0.0149692685192029,1,0.00526015133376288,1322.52580981871
"ST2","f1_weak","mu",4000,0.00162175080295384,356,0.00207351241002551,FALSE,0.039,0.00612200947402077,1,0.0105203026675258,866.811977934207
"ST2","f1_weak","mu",8000,0.00162175080295384,356,0.00112339960258275,TRUE,0,0,1,0.0210406053350515,NA
"ST3","st3_weak_overlap","mu",200,0.000190947709034703,155,0.0264915868327402,FALSE,1,0,1,7.29220551712031e-06,691618.620056514
"ST3","st3_weak_overlap","mu",500,0.000190947709034703,155,0.0124292161968444,FALSE,1,0,1,1.82305137928008e-05,276647.448022606
"ST3","st3_weak_overlap","mu",1000,0.000190947709034703,155,0.00690775527898214,FALSE,0.998,0.00141279864099595,1,3.64610275856016e-05,138378.632026881
"ST3","st3_weak_overlap","mu",2000,0.000190947709034703,155,0.00380045122977104,FALSE,0.999,0.000999499874937461,1,7.29220551712031e-05,69175.5821391725
"ST3","st3_weak_overlap","mu",4000,0.000190947709034703,155,0.00207351241002551,FALSE,0.988,0.00344325427466518,1,0.000145844110342406,34663.7082998034
"ST3","st3_weak_overlap","mu",8000,0.000190947709034703,155,0.00112339960258275,FALSE,0.95,0.00689202437604511,1,0.000291688220684812,17466.3152298219
