"dgp","nuisance","theta0","p","leaf_budget","card_T","n_sufficient","min_sufficient_leaves","n_distinct_values","delta_sq","delta_kl","argmin_key_kl","e0_min","e0_max"
"f1","e",0.08,5,4,356,11,3,3,0.005625,0.0119436719607646,"1.2.1.2.1.3.1.4.1.2.1.2.1.3.1.4.1.2.1.2.1.3.1.4.1.2.1.2.1.3.1.4",0.2,0.75
"f1","mu",0.08,5,4,356,11,3,3,0.00416666666666667,0.0105988776124164,"1.2.1.3.1.4.1.3.1.2.1.3.1.4.1.3.1.2.1.3.1.4.1.3.1.2.1.3.1.4.1.3",0.2,0.75
"f1_weak","e",0.08,5,4,356,11,3,3,0.0025,0.00508652183486959,"1.2.1.2.1.3.1.4.1.2.1.2.1.3.1.4.1.2.1.2.1.3.1.4.1.2.1.2.1.3.1.4",0.2,0.65
"f1_weak","mu",0.08,5,4,356,11,3,3,0.0014,0.0029408295982573,"1.2.1.3.1.4.1.3.1.2.1.3.1.4.1.3.1.2.1.3.1.4.1.3.1.2.1.3.1.4.1.3",0.2,0.65
"st3_weak_overlap","e",0.1,4,4,155,1,4,4,0.00338003599219658,0.0214809540661981,"1.2.3.2.1.2.3.2.1.2.3.2.1.2.3.2",0.0758581800212435,0.982013790037908
"st3_weak_overlap","mu",0.1,4,4,155,1,4,4,9.25340020791344e-05,0.000190947709034703,"1.2.3.2.1.2.3.2.1.2.3.2.1.2.3.2",0.0758581800212435,0.982013790037908
