"regime","dgp","n","reps_recovered_both","n_distinct_keys_e","n_distinct_keys_mu","mean_leaves_grid_e","mean_leaves_grid_mu","pct_recovered_are_refinements_e","pct_recovered_are_refinements_mu","coverage_given_recovered"
"F1","f1",2000,1000,2,10,3.001,3.038,0.001,0.038,0.946
"F1","f1",4000,1000,1,10,3,3.021,0,0.021,0.965
"F1","f1",8000,1000,1,9,3,3.015,0,0.015,0.944
"ST1","f1",200,228,5,10,2.449,2.818,0.0106382978723404,0.127768313458262,0.93859649122807
"ST1","f1",500,871,3,11,2.926,3.039,0.00219058050383352,0.0566631689401889,0.955223880597015
"ST1","f1",1000,995,3,10,3.003,3.046,0.0030060120240481,0.0431293881644935,0.951758793969849
"ST2","f1_weak",200,11,3,9,2.105,2.259,0.0227272727272727,0.144329896907216,1
"ST2","f1_weak",500,117,2,9,2.411,2.368,0.00253164556962025,0.0669014084507042,0.905982905982906
"ST2","f1_weak",1000,429,2,8,2.802,2.59,0.00125156445556946,0.0315985130111524,0.955710955710956
"ST2","f1_weak",2000,877,1,11,2.996,2.904,0,0.0204313280363224,0.960091220068415
"ST2","f1_weak",4000,996,3,6,3.002,3.012,0.002,0.0120481927710843,0.944779116465863
"ST2","f1_weak",8000,1000,1,7,3,3.008,0,0.008,0.952
"ST3","st3_weak_overlap",200,0,1,0,3.367,1.551,0,NA,NA
"ST3","st3_weak_overlap",500,0,1,0,3.9,1.493,0,NA,NA
"ST3","st3_weak_overlap",1000,2,1,1,3.999,1.526,0,0,0
"ST3","st3_weak_overlap",2000,1,1,1,4,1.967,0,0,0
"ST3","st3_weak_overlap",4000,12,1,1,4,2.569,0,0,0
"ST3","st3_weak_overlap",8000,50,1,1,4,3.039,0,0,0.5
