"regime","dgp","n","coverage_all","n_rec_noclip","cov_rec_noclip","bias_rec_noclip","n_rec_clip","cov_rec_clip","n_fail_noclip","cov_fail_noclip","bias_fail_noclip","n_fail_clip","cov_fail_clip"
"F1","f1",2000,0.946,1000,0.946,0.000122151413103705,0,NA,0,NA,NA,0,NA
"F1","f1",4000,0.965,1000,0.965,0.000903143218382899,0,NA,0,NA,NA,0,NA
"F1","f1",8000,0.944,1000,0.944,0.000169748806862365,0,NA,0,NA,NA,0,NA
"ST1","f1",200,0.933,227,0.94273127753304,-9.17280383294371e-05,1,0,769,0.931079323797139,0.000390389801852934,3,1
"ST1","f1",500,0.955,871,0.955223880597015,0.00188410236906667,0,NA,129,0.953488372093023,-0.000971318104786758,0,NA
"ST1","f1",1000,0.952,995,0.951758793969849,-0.00185654879140034,0,NA,5,1,-0.0118357201472565,0,NA
"ST2","f1_weak",200,0.94,11,1,0.016464018367607,0,NA,988,0.939271255060729,-0.00432260823147982,1,1
"ST2","f1_weak",500,0.942,117,0.905982905982906,-0.00291459579976766,0,NA,883,0.946772366930917,-0.00454973121737793,0,NA
"ST2","f1_weak",1000,0.954,429,0.955710955710956,0.00359060633924257,0,NA,571,0.952714535901926,0.00147343610013978,0,NA
"ST2","f1_weak",2000,0.96,877,0.960091220068415,0.00074700288321797,0,NA,123,0.959349593495935,0.0010635449496177,0,NA
"ST2","f1_weak",4000,0.945,996,0.944779116465863,-8.81961385004048e-05,0,NA,4,1,-0.0109950004349978,0,NA
"ST2","f1_weak",8000,0.952,1000,0.952,0.000585227719166712,0,NA,0,NA,NA,0,NA
"ST3","st3_weak_overlap",200,0.868,0,NA,NA,0,NA,690,0.928985507246377,0.0170104793804754,310,0.732258064516129
"ST3","st3_weak_overlap",500,0.886,0,NA,NA,0,NA,676,0.911242603550296,-0.00361860830124653,324,0.833333333333333
"ST3","st3_weak_overlap",1000,0.92,2,0,0.234739382836358,0,NA,819,0.919413919413919,-0.001461245185708,179,0.932960893854749
"ST3","st3_weak_overlap",2000,0.935,1,0,-0.164909719167211,0,NA,922,0.938177874186551,0.000891709428754085,77,0.909090909090909
"ST3","st3_weak_overlap",4000,0.944,12,0,-0.109861347860981,0,NA,963,0.956386292834891,0.00353521130850207,25,0.92
"ST3","st3_weak_overlap",8000,0.943,50,0.5,-0.0588533959749905,0,NA,948,0.966244725738397,0.00171302829357508,2,1
