"regime","dgp","n","arm","ref","reps_paired","rmse","rmse_ratio","rmse_ratio_mc_se","rmse_ratio_lo","rmse_ratio_hi"
"R1","A",500,"doubletree","oracle_aipw",30,0.0304786575977092,1.03001232652107,0.0359756503342475,0.960436412891856,1.10358974820429
"R1","A",500,"glm_main","oracle_aipw",30,0.0381606479887049,1.2896216865979,0.114275737114266,1.06865340466653,1.51467699957298
"R1","A",500,"glm_int","oracle_aipw",30,0.0292539694774424,0.98862455030505,0.122114662814484,0.776780403024904,1.25593649272643
"R1","A",500,"lasso_dml","oracle_aipw",30,0.033815914243297,1.14279339211427,0.069562088682084,1.02786806741067,1.30199473476949
"R1","A",1000,"doubletree","oracle_aipw",30,0.0278737077788182,0.998201959554073,0.02915740892428,0.924197968812379,1.0355975755771
"R1","A",1000,"glm_main","oracle_aipw",30,0.0380864819944117,1.36393770290702,0.170123937778658,1.09378642036776,1.76870142541797
"R1","A",1000,"glm_int","oracle_aipw",30,0.0303172733977697,1.08570994408529,0.0521502613985945,0.961621861697846,1.16802505780055
"R1","A",1000,"lasso_dml","oracle_aipw",30,0.0298176482132372,1.06781756886918,0.0457851074658236,0.955930515841356,1.13294390819752
"R1","A",2000,"doubletree","oracle_aipw",30,0.0182494006127455,1.03866124895516,0.024056885732331,0.977395921950837,1.06940461607477
"R1","A",2000,"glm_main","oracle_aipw",30,0.0329630397177691,1.87608528790283,0.229203514877,1.60386666590648,2.51204611118292
"R1","A",2000,"glm_int","oracle_aipw",30,0.0189580072105266,1.07899146195707,0.0486080347418069,1.0134627480404,1.20022413576958
"R1","A",2000,"lasso_dml","oracle_aipw",30,0.0186326745792051,1.06047521562412,0.0252650427658008,0.997133212341205,1.10093483684786
"R2","A2",500,"doubletree","doubletree_crossfit",30,0.0452674698648678,0.985702551047283,0.0631956464992049,0.863972941828026,1.1209351248376
"R2","A2",2000,"doubletree","doubletree_crossfit",30,0.0186364644985356,1.01499016911445,0.0224572523236002,0.972532063526773,1.06120992445405
"R3","B_eps0",500,"doubletree","oracle_aipw",30,0.0544246160738211,0.977974015607833,0.0287419020191922,0.911977414358176,1.02438294329802
"R3","B_eps0",500,"doubletree_crossfit","oracle_aipw",30,0.0544119411562281,0.97774625580078,0.0292240147228534,0.91643247459452,1.03274169243489
"R3","B_eps0",500,"doubletree_anchor","oracle_aipw",30,0.0544246160738211,0.977974015607833,0.0287419020191922,0.911977414358176,1.02438294329802
"R3","B_eps0",500,"glm_main","oracle_aipw",30,0.056351092279414,1.0125915068585,0.0444088949565158,0.914532153575415,1.08731114728749
"R3","B_eps05",500,"doubletree","oracle_aipw",30,0.055329007063333,1.03436006903278,0.0610934580785777,0.919746665867549,1.16684045335833
"R3","B_eps05",500,"doubletree_crossfit","oracle_aipw",30,0.0522277775950921,0.976383465129796,0.0683030547280208,0.862639828511337,1.12901571743221
"R3","B_eps05",500,"doubletree_anchor","oracle_aipw",30,0.055329007063333,1.03436006903278,0.0610934580785777,0.919746665867549,1.16684045335833
"R3","B_eps05",500,"glm_main","oracle_aipw",30,0.0545468379543516,1.01973763974112,0.0407358518316968,0.950084585683397,1.10486489001616
"R3","B_eps10",500,"doubletree","oracle_aipw",30,0.0664914550420552,1.27574825782895,0.179864886299234,1.03617376026965,1.7104363029621
"R3","B_eps10",500,"doubletree_crossfit","oracle_aipw",30,0.0633463845712777,1.21540489233476,0.123215415399718,1.02324930348825,1.51868000502569
"R3","B_eps10",500,"doubletree_anchor","oracle_aipw",30,0.0664914550420552,1.27574825782895,0.179864886299234,1.03617376026965,1.7104363029621
"R3","B_eps10",500,"glm_main","oracle_aipw",30,0.0592389311904911,1.13659662304154,0.0784717481391752,0.952084221763,1.26474460371566
"R3","B_eps15",500,"doubletree","oracle_aipw",30,0.0992232528824584,2.48069846337402,0.458759693380221,1.86796268737773,3.64036625303694
"R3","B_eps15",500,"doubletree_crossfit","oracle_aipw",30,0.0950973819034959,2.3775468179657,1.01047833345136,1.00554168561353,4.53186265764409
"R3","B_eps15",500,"doubletree_anchor","oracle_aipw",30,0.0992232528824584,2.48069846337402,0.458759693380221,1.86796268737773,3.64036625303694
"R3","B_eps15",500,"glm_main","oracle_aipw",30,0.0475834343289663,1.18964203443076,0.0768588902596896,1.07817176127715,1.38508807972651
