"regime","dgp","n","arm","reps","n_fail","theta0","n_treated_mean","bias","bias_mc_se","rel_bias","rmse","rmse_mc_se","sd_theta","mean_sigma","coverage","coverage_mc_se","coverage_mc_se_nominal","ci_width","ci_width_mc_se","n_leaves_e","n_leaves_m0","certified_frac","coverage_certified","n_certified","clip_frac","max_e_hat","min_e_hat","secs_mean"
"R1","A",500,"doubletree",2,0,0.08,203,0.0377235244676313,0.00354452781303654,0.471544055845392,0.0378896816518346,0.00352898403607488,0.00501271930540492,0.0387387050522959,1,0,0.154110350074224,0.15185293342044,0.0112992826496348,2.5,4,1,1,2,0,0.760869562625885,0.163999999642372,0.229419946670532
"R1","A",500,"glm_int",2,0,0.08,203,0.0597848141944841,0.000171050660312158,0.747310177431051,0.0597850588909753,0.000171049960212549,0.000241902163666327,0.051115402607625,1,0,0.154110350074224,0.20037237822189,0.010185761282336,NA,NA,NA,NA,NA,NA,NA,NA,0.0273720026016235
"R1","A",500,"glm_main",2,0,0.08,203,0.0602435556505398,0.00918838133645257,0.753044445631747,0.060940235879128,0.00908333803431419,0.012994333502267,0.0412593813868668,1,0,0.154110350074224,0.161736775036518,0.00136064156487756,NA,NA,NA,NA,NA,NA,NA,NA,0.040508508682251
"R1","A",500,"lasso_dml",2,0,0.08,203,0.0571342246205196,0.00240746954344415,0.714177807756495,0.0571849239974191,0.00240533511364648,0.00340467607933888,0.040268009716642,1,0,0.154110350074224,0.157850598089237,0.00135941107381332,NA,NA,NA,NA,NA,NA,NA,NA,0.977785468101501
"R1","A",500,"oracle_aipw",2,0,0.08,203,0.0376214143865843,0.00223085834068824,0.470267679832304,0.0376874985821998,0.00222694657990489,0.00315491012113445,0.0405999334545981,1,0,0.154110350074224,0.159151739142025,0.000385881916134381,NA,NA,NA,NA,NA,0,0.75,0.2,0.0160050392150879
"R1","A",1000,"doubletree",2,0,0.08,410.5,0.0326753263152201,0.002447675006236,0.408441578940251,0.0327668744731973,0.00244083638821856,0.0034615351901006,0.0258995414330637,1,0,0.154110350074224,0.101524336849815,0.00466883173391557,3,3,1,1,2,0,0.750972758993101,0.183098589870292,0.0160369873046875
"R1","A",1000,"glm_int",2,0,0.08,410.5,0.0317341063187448,0.0049132729846386,0.39667632898431,0.0321122057054787,0.00485542253613979,0.00694841729051725,0.0292508943264595,1,0,0.154110350074224,0.114663505759721,0.010779175579459,NA,NA,NA,NA,NA,NA,NA,NA,0.0347589254379272
"R1","A",1000,"glm_main",2,0,0.08,410.5,0.0621450560987035,0.0145249589849815,0.776813201233794,0.0638199218976833,0.0141437714762514,0.0205413939894738,0.025837452230763,0.5,0.353553390593274,0.154110350074224,0.101282812744591,0.00625183838982243,NA,NA,NA,NA,NA,NA,NA,NA,0.0701159238815308
"R1","A",1000,"lasso_dml",2,0,0.08,410.5,0.0348087975749355,0.00616230144357133,0.435109969686694,0.0353500544227909,0.00606794832561031,0.00871481027692988,0.0263016116182817,1,0,0.154110350074224,0.103102317543664,0.00934705230980284,NA,NA,NA,NA,NA,NA,NA,NA,0.404015421867371
"R1","A",1000,"oracle_aipw",2,0,0.08,410.5,0.0333275188144591,0.00370726564990331,0.416593985180739,0.033533078130811,0.00368453994039474,0.00524286536141317,0.0261475673904583,1,0,0.154110350074224,0.102498464170597,0.00546668504868845,NA,NA,NA,NA,NA,0,0.75,0.2,0.000123500823974609
"R1","A",2000,"doubletree",2,0,0.08,819,-0.00885687994113506,0.00459055815864847,-0.110710999264188,0.00997584815941054,0.00407564568187553,0.00649202960682313,0.0183536973230646,1,0,0.154110350074224,0.0719451714727116,0.00283648451177465,3,3,1,1,2,0,0.767754316329956,0.199222552764752,0.0246654748916626
"R1","A",2000,"glm_int",2,0,0.08,819,-0.0103087087965801,0.00826564381272504,-0.128858859957251,0.0132132639681317,0.00644868030239498,0.011689385581701,0.0191613306409776,1,0,0.154110350074224,0.0751124161126321,0.00211012553102177,NA,NA,NA,NA,NA,NA,NA,NA,0.0527501106262207
"R1","A",2000,"glm_main",2,0,0.08,819,0.0080292246281872,0.00663233768502824,0.10036530785234,0.0104142379124991,0.00511343504253628,0.00937954190440511,0.0180024773294511,1,0,0.154110350074224,0.0705697111314485,0.00258685214232367,NA,NA,NA,NA,NA,NA,NA,NA,0.044995903968811
"R1","A",2000,"lasso_dml",2,0,0.08,819,-0.00862068332085496,0.00556562917503486,-0.107758541510687,0.0102612089459511,0.00467581615889606,0.00787098826247368,0.0178044281048053,1,0,0.154110350074224,0.0697933581708368,0.00175587274510026,NA,NA,NA,NA,NA,NA,NA,NA,0.665343046188354
"R1","A",2000,"oracle_aipw",2,0,0.08,819,-0.00796695213736767,0.00418284774828192,-0.0995869017170958,0.00899825214385629,0.00370344676673803,0.00591544001496205,0.018119608885998,1,0,0.154110350074224,0.0710288668331122,0.00530437393349158,NA,NA,NA,NA,NA,0,0.75,0.2,0.000226497650146484
