"regime","dgp","n","arm","reps","n_fail","theta0","n_treated_mean","bias","bias_mc_se","rel_bias","rmse","rmse_mc_se","sd_theta","mean_sigma","coverage","coverage_mc_se","coverage_mc_se_nominal","ci_width","ci_width_mc_se","n_leaves_e","n_leaves_m0","certified_frac","coverage_certified","n_certified","clip_frac","max_e_hat","min_e_hat","secs_mean"
"R1","A",500,"doubletree",30,0,0.08,201.866666666667,0.00105529740274355,0.00565635107294007,0.0131912175342943,0.0304786575977092,0.00331172620874871,0.0309811107581783,0.0348592481342937,1,0,0.0397911212877111,0.136645741742722,0.0032098698774316,2.93333333333333,3.16666666666667,1,1,30,0,0.806451618671417,0.10483870889631,0.0278143167495728
"R1","A",500,"glm_int",30,0,0.08,201.866666666667,0.00381392590082917,0.00538596099519187,0.0476740737603646,0.0292539694774424,0.00342047987513323,0.0295001233090956,0.0437169866796745,1,0,0.0397911212877111,0.171370587784324,0.00596489564628102,NA,NA,NA,NA,NA,NA,NA,NA,0.0256572087605794
"R1","A",500,"glm_main",30,0,0.08,201.866666666667,0.02177565310623,0.00581927826640865,0.272195663827874,0.0381606479887049,0.00419183310690815,0.0318734997491157,0.03631076335163,0.966666666666667,0.0327730693416725,0.0397911212877111,0.14233819233839,0.00240230814329972,NA,NA,NA,NA,NA,NA,NA,NA,0.0174606482187907
"R1","A",500,"lasso_dml",30,0,0.08,201.866666666667,0.00806312641444803,0.006098337954848,0.1007890801806,0.033815914243297,0.00320601983561032,0.0334019726116017,0.0348921237463667,1,0,0.0397911212877111,0.136777125085758,0.00309757645770065,NA,NA,NA,NA,NA,NA,NA,NA,0.350931231180827
"R1","A",500,"oracle_aipw",30,0,0.08,201.866666666667,0.00154226031876865,0.00548736352857868,0.0192782539846081,0.0295905755814134,0.00311204354956459,0.0300555278583369,0.0349291475471406,1,0,0.0397911212877111,0.136922258384791,0.00322741909070876,NA,NA,NA,NA,NA,0,0.75,0.2,0.00116731325785319
"R1","A",1000,"doubletree",30,0,0.08,400.6,-0.000141455224015201,0.00517595093964433,-0.00176819030019002,0.0278737077788182,0.00547235945318621,0.0283498508618326,0.0256704711871869,0.966666666666667,0.0327730693416725,0.0397911212877111,0.100626397986119,0.00184811223857303,3,3.03333333333333,1,0.966666666666667,30,0,0.805447471222989,0.153535353445043,0.0179539362589518
"R1","A",1000,"glm_int",30,0,0.08,400.6,-0.000583970575394197,0.00562873184909719,-0.00729963219242746,0.0303172733977697,0.005950728666128,0.0308298340389829,0.0282131449389092,0.966666666666667,0.0327730693416725,0.0397911212877111,0.110595528160524,0.00280697766427034,NA,NA,NA,NA,NA,NA,NA,NA,0.0368485689163208
"R1","A",1000,"glm_main",30,0,0.08,400.6,0.0219557679688292,0.00577904765931259,0.274447099610365,0.0380864819944117,0.00594343781647836,0.0316531476390294,0.0256686217390802,0.833333333333333,0.0680413817439772,0.0397911212877111,0.100620997217194,0.00140044486002172,NA,NA,NA,NA,NA,NA,NA,NA,0.02283616065979
"R1","A",1000,"lasso_dml",30,0,0.08,400.6,0.0022703338892421,0.00552092486317449,0.0283791736155263,0.0298176482132372,0.00592241362715776,0.0302393508585179,0.0250276549753973,0.966666666666667,0.0327730693416725,0.0397911212877111,0.0981084075035572,0.00182616075161532,NA,NA,NA,NA,NA,NA,NA,NA,0.434680040677389
"R1","A",1000,"oracle_aipw",30,0,0.08,400.6,-0.000673739923531215,0.0051838315126667,-0.00842174904414018,0.0279239161093915,0.00498709679525056,0.0283930145379368,0.0255562397642989,0.966666666666667,0.0327730693416725,0.0397911212877111,0.100180459876052,0.00160382895713528,NA,NA,NA,NA,NA,0,0.75,0.2,0.000140094757080078
