"regime","nsim_target","n_cells_full","secs_per_rep_at_n","at_n","projected_hours"
"R1",1000,4,0.904763952891032,2000,0.942462450928158
"R2",2000,6,5.23622229099274,2000,22.8357472134961
"R3",1000,8,2.09485258658727,500,11.6380699254848
"R4",1000,3,0.464356255531311,1000,0.451457470655441
"R5",1000,2,6.59036150773366,500,9.15327987185231
"R6",2000,12,0.0185557868745592,500,0.22885470478623
