"regime","dgp","n","arm","ref","reps_paired","rmse","rmse_ratio","rmse_ratio_mc_se","rmse_ratio_lo","rmse_ratio_hi"
"R2","A2",500,"doubletree","doubletree_crossfit",2,0.0262349321751152,2.72508577050734,1.27058141111765,1.27776717843641,4.82129234664456
"R2","A2",2000,"doubletree","doubletree_crossfit",2,0.0176574458083813,0.935791220247297,0.0159080268809788,0.90073336587025,0.939838382203195
"R3","B_eps0",500,"doubletree","oracle_aipw",2,0.0220140904611668,0.837573570729227,0.0370586600007436,0.832745559959937,0.921148041649585
"R3","B_eps0",500,"doubletree_crossfit","oracle_aipw",2,0.020683592622002,0.786951909663439,0.0781129794222858,0.776147431307726,0.962865981836067
"R3","B_eps0",500,"doubletree_anchor","oracle_aipw",2,0.0220140904611668,0.837573570729227,0.0370586600007436,0.832745559959937,0.921148041649585
"R3","B_eps0",500,"glm_main","oracle_aipw",2,0.0109821811971417,0.417840779563954,0.160090864699648,0.38879959724253,0.775603544370593
"R3","B_eps05",500,"doubletree","oracle_aipw",2,0.0407755039324181,1.20163260478128,0.337974074459654,0.699121288969662,1.64843965833971
"R3","B_eps05",500,"doubletree_crossfit","oracle_aipw",2,0.0517741974978802,1.52575830584343,0.532151379653733,0.696097019280547,2.18759971540113
"R3","B_eps05",500,"doubletree_anchor","oracle_aipw",2,0.0407755039324181,1.20163260478128,0.337974074459654,0.699121288969662,1.64843965833971
"R3","B_eps05",500,"glm_main","oracle_aipw",2,0.0207196106336807,0.610596002371151,0.167198931770709,0.363309264764152,0.833014837842523
"R3","B_eps10",500,"doubletree","oracle_aipw",2,0.0645840830150366,3.2141558846872,1.5898930792802,2.38710836824599,6.51028523853876
"R3","B_eps10",500,"doubletree_crossfit","oracle_aipw",2,0.0506496239664507,2.52067969891372,0.639431477351565,1.10308814276509,2.66388105865201
"R3","B_eps10",500,"doubletree_anchor","oracle_aipw",2,0.0645840830150366,3.2141558846872,1.5898930792802,2.38710836824599,6.51028523853876
"R3","B_eps10",500,"glm_main","oracle_aipw",2,0.0171326472033642,0.852640407020128,0.0400032755384673,0.839361322673769,0.939391616837137
"R3","B_eps15",500,"doubletree","oracle_aipw",2,0.10554186446304,1.31087099802603,7.15350436442269,0.985428116710917,17.66998550979
"R3","B_eps15",500,"doubletree_crossfit","oracle_aipw",2,0.0868844124595878,1.07913818893819,0.435308064795885,0.0771866450842125,1.08042937078932
"R3","B_eps15",500,"doubletree_anchor","oracle_aipw",2,0.10554186446304,1.31087099802603,7.15350436442269,0.985428116710917,17.66998550979
"R3","B_eps15",500,"glm_main","oracle_aipw",2,0.0894435879628552,1.11092414385911,0.6249152335419,1.1052139044753,2.54797716828255
