"regime","nsim_target","n_cells_full","secs_per_rep_at_n","at_n","projected_hours"
"R2",2000,6,4.6302410364151,2000,20.1929956310325
"R3",1000,8,2.24317583441734,500,12.4620879689852
"R4",1000,3,0.458714008331299,1000,0.445971952544318
"R5",1000,2,7.143967628479,500,9.92217726177639
"R6",2000,12,0.0199283361434937,500,0.245782812436422
