"dgp","eps","residual_mode","n","emp_cor_A_Y0","emp_EY0_treated","emp_EY0_control","emp_gap","pop_Emu0_treated","pop_Emu0_control","pop_gap"
"eps0",0,"aligned",200000,0.183257035967073,0.546187398181723,0.363616422678938,0.182570975502785,0.544736842105263,0.364285714285714,0.180451127819549
"eps_small",0.03,"aligned",200000,0.187308692201808,0.548035783741735,0.361437166858963,0.186598616882772,0.546631578947369,0.362571428571429,0.18406015037594
"eps_mod",0.09,"aligned",200000,0.217128458270439,0.564383013664021,0.348037255013999,0.216345758650022,0.56178947368421,0.348857142857143,0.212932330827068
"eps_sev",0.15,"aligned",200000,0.272463225475245,0.592849620893008,0.321391850723534,0.271457770169474,0.592105263157895,0.321428571428572,0.270676691729323
"orth_blind",0.15,"orthogonal",200000,0.180372978271923,0.54486099410278,0.365146610814928,0.179714383287852,0.544736842105263,0.364285714285714,0.180451127819549
