"dgp","eps","residual_mode","n_oracle","theta0","bias_exact","bias_oracle_mc","abs_gap","mc_se"
"eps0",0,"aligned",2000000,0.1,0,0.000503516402992676,0.000503516402992676,0.000798964578788648
"eps_small",0.03,"aligned",2000000,0.1,0.00442105263157896,0.0041793578473464,0.000241694784232568,0.000799492335800076
"eps_mod",0.09,"aligned",2000000,0.1,0.0397894736842105,0.039034830293697,0.00075464339051351,0.000805539576526963
"eps_sev",0.15,"aligned",2000000,0.1,0.110526315789474,0.111181856686409,0.000655540896935314,0.000812699448946429
"orth_blind",0.15,"orthogonal",2000000,0.1,-1.38777878078145e-17,0.000155767177506247,0.000155767177506261,0.000799395125352421
