"dgp","eps","residual_mode","n_suff_e","n_suff_mu","delta_e_sq","delta_mu_sq","delta_e_kl","delta_mu_kl","ratio_e","ratio_mu"
"eps0",0,"aligned",1,1,6.16297582203915e-33,0,2.77555756156289e-17,0,NA,NA
"eps_small",0.03,"aligned",0,0,0.000900000000000001,0.000896400000000002,0.00227503465693658,0.00227587441121468,1,0.996000000000002
"eps_mod",0.09,"aligned",0,0,0.00809999999999999,0.00780839999999999,0.0207471946489675,0.0202472245743906,0.999999999999999,0.963999999999999
"eps_sev",0.15,"aligned",0,0,0.0225,0.02025,0.0593640878567799,0.055293541116657,1,0.9
"orth_blind",0.15,"orthogonal",0,0,0.0225,0.0225,0.0593640878567799,0.0596832565804874,1,1
