"dgp","eps","residual_mode","ip_gh","cor_gh","norm_g","norm_h","ip_resid","cor_resid","bilinear_form","bias_pseudo","delta_e_sq","delta_mu_sq"
"eps0",0,"aligned",1,1,1,1,0,NA,0,0,6.16297582203915e-33,0
"eps_small",0.03,"aligned",1,1,1,1,0.004,0.723470867471887,0.0021,0.00442105263157896,0.000900000000000001,0.000896400000000002
"eps_mod",0.09,"aligned",1,1,1,1,0.036,0.706495780847296,0.0189,0.0397894736842105,0.00809999999999999,0.00780839999999999
"eps_sev",0.15,"aligned",1,1,1,1,0.1,0.666666666666667,0.0525,0.110526315789474,0.0225,0.02025
"orth_blind",0.15,"orthogonal",2.64338815386942e-17,2.64338815386942e-17,1,1,8.26058798084194e-19,5.22445456633438e-18,4.33680868994202e-19,-1.38777878078145e-17,0.0225,0.0225
