dgp,n,arm,reps,bias,bias_mcse,rmse,sd_theta,coverage,cov_mcse,ci_width,width_mcse,mean_sigma
simple,500,L,300,0.001265667544617042,0.002626019052985264,0.04542574994713178,0.045483984214143854,0.9266666666666666,0.015050532167286265,0.17026688368999607,1.769196178343722e-4,0.04343622766363045
simple,500,S,300,0.0020076634298617753,0.0026292784806481143,0.04550878163342305,0.04554043915730038,0.9266666666666666,0.015050532167286265,0.16977670760025057,0.00014344663345766779,0.043311180445005024
simple,2000,L,300,0.0017813238824478477,0.0012615926207375553,0.021887582804944797,0.02185142517571419,0.9466666666666667,0.012972906239401267,0.08488169098618184,5.4185214194793166e-5,0.021653890493835048
simple,2000,S,300,0.002077655934564119,0.0012694758705326138,0.022049394117660614,0.021987967067452173,0.9433333333333334,0.013348602368232605,0.08432231927318709,4.08771351438713e-5,0.02151119100613859
weak_overlap,500,L,300,0.0105192833724486,0.007892408254390406,0.13687730867754105,0.13670052090680176,0.8966666666666666,0.01757418139919615,0.49792152613339036,0.00939088485174899,0.1270231315628583
weak_overlap,500,S,300,0.01799738304810153,0.004906593711515644,0.08673078859145503,0.08498469600443047,0.9366666666666666,0.014062031885212777,0.3175586786634273,0.001862610188412106,0.08101135560864632
weak_overlap,2000,L,300,-0.0046560786120547915,0.004045631811612878,0.07011029138312526,0.07007239846430426,0.9366666666666666,0.014062031885212777,0.2773154437583536,0.002718700192598493,0.07074503560927203
weak_overlap,2000,S,300,0.012001090493298464,0.003249449923138551,0.05745558884147734,0.05628212363526754,0.9033333333333333,0.017060893120645067,0.1961901353972044,0.00354646730857608,0.05004942359776181
