dgp,n,reps,d_bias,d_bias_mcse,d_sqerr,d_sqerr_mcse,rmse_ratio_S_L,d_coverage,d_cov_mcse,d_width,d_width_mcse,bias_z,sqerr_z,coverage_z
simple,500,300,7.419958852447281e-4,2.3321089083825182e-4,7.55044749924002e-6,1.406439033450272e-5,1.0018278550467061,0,0,-4.901760897454919e-4,1.0375804482066911e-4,3.181651948490495,0.5368485458425656,NA
simple,2000,300,2.9633205211627403e-4,9.950382612302882e-5,7.109499912611361e-6,4.910527233342141e-6,1.0073928361189002,-0.0033333333333332993,0.003333333333333333,-5.593717129947535e-4,3.9769838914969297e-5,2.978097060809323,1.447807857441121,-0.9999999999999899
weak_overlap,500,300,0.0074780996756529244,0.006109256391232406,-0.011213167941111192,0.0011682749096622348,0.6336389093956951,0.040000000000000036,0.01933106510355558,-0.18036284746996303,0.009477738821169597,1.2240605397385171,-9.59805594417249,2.0692082813710457
weak_overlap,2000,300,0.01665716910535325,0.002605108687516948,-0.0016143082687058324,2.8180622856122545e-4,0.819502924720496,-0.033333333333333326,0.015541746804005243,-0.08112530836114917,0.0035340373858400113,6.3940399819671185,-5.728433601158345,-2.1447610589527195
