"regime","arm","realized_partition","n","R","share","mean_theta","theta0","bias","emp_var","emp_var_scaled","V_tau_full","ratio_emp_Vtau","mcse_ratio_rel","cov_naive","cov_corrected","mean_se_corrected"
"E","fitted_tie","tree1",1000,27,0.54,0.234287584251803,0.25,-0.0157124157481974,0.0034058090501518,3.4058090501518,4.84072022160665,0.703574859573562,0.277350098112615,0.888888888888889,0.962962962962963,0.0702162087994212
"E","fitted_tie","tree2",1000,23,0.46,0.2491273037153,0.25,-0.000872696284700103,0.0061651905813667,6.1651905813667,5.01828965125364,1.22854418732616,0.301511344577764,0.826086956521739,0.956521739130435,0.071490464771536
