"dgp","partition","pi_pop","theta0","Tr","C_untied","C_tied","V_num","V_tau_num","ratio_Vtau_V","V_full","V_tau_full","naive_over_correct","se_ratio_naive","implied_coverage_naive","n_leaves","mu_projection_error"
"A","true",0.5,0.25,0.53125,0.880952380952381,0.880952380952381,1.41220238095238,1.41220238095238,1,5.64880952380952,5.64880952380952,0.376185458377239,0.61333959465963,0.770684323375177,2,0
"B","true",0.5,0.25,0.8125,1.625,0.5,2.4375,1.3125,0.538461538461538,9.75,5.25,0.619047619047619,0.786795792469443,0.876948619486086,2,0
"C","true",0.4575,0.1,0.15,0.0933222222222222,0.331622727272727,0.243322222222222,0.481622727272727,1.97936186376298,1.1625177089658,2.30104321907601,0.31144709646366,0.558074454229595,0.725959853781934,2,0
"E","tree1",0.475,0.25,0.5046875,0.670833333333333,0.5875,1.17552083333333,1.0921875,0.929109437306159,5.21006463527239,4.84072022160665,0.4620886981402,0.679771063035343,0.817247176164759,3,0
"E","tree2",0.475,0.25,0.5046875,0.670833333333333,0.627564102564102,1.17552083333333,1.1322516025641,0.963191438601275,5.21006463527239,5.01828965125364,0.445737942747957,0.667636085564551,0.809310692619699,3,0
