"n","lambda","rep","mse_e","mse_m0","mse_m1","num_leaves_e","num_leaves_m0","num_leaves_m1"
1600,0.01,12,0.000339964886775726,0.00228925115270238,0.00231600324901351,0,0,0
3200,0.01,12,0.00013846501515711,0.000875284806653104,0.000593664181703284,0,0,0
400,0.05,12,0.00517146803916425,0.0174421342203164,0.00733778904531799,0,0,0
800,0.05,12,0.00184926322000098,0.00549770053074754,0.000208421280044613,0,0,0
1600,0.05,12,0.000683803291926295,0.000922830751837208,0.000597182291251193,0,0,0
3200,0.05,12,0.000585547445722859,0.000398976801044625,0.000177679839432553,0,0,0
400,0.1,12,0.00142204783870613,0.00930234514766772,0.0104231302297468,0,0,0
800,0.1,12,0.00122726297467134,0.00600294212377334,0.00214003218687361,0,0,0
1600,0.1,12,0.000938746902583008,0.00197504725208443,0.000847134233361944,0,0,0
3200,0.1,12,0.000157786238085979,0.000415311744927019,0.000322331749304006,0,0,0
400,0.2,12,0.00089428299717002,0.00992162695235478,0.00803549186719669,0,0,0
800,0.2,12,0.00217304574635398,0.00777043385775314,0.00259218184836717,0,0,0
1600,0.2,12,0.00145469994456846,0.000353318932575376,0.0011661462140437,0,0,0
3200,0.2,12,4.51462188426845e-05,0.000930522706990583,0.000478898146412985,0,0,0
400,0.5,12,0.00218908060323114,0.00214110644187095,0.00351849967384873,0,0,0
800,0.5,12,0.00135218270649025,0.00551668944009572,0.00345655181506331,0,0,0
1600,0.5,12,0.00155668565270144,0.00029867222591617,0.00226356933001588,0,0,0
3200,0.5,12,0.000212639870104295,0.00109625245819706,0.000385222974094755,0,0,0
400,0.01,13,0.00489976328801011,0.00347671914064392,0.00105192103533217,0,0,0
800,0.01,13,0.000641588656600222,0.00223401695488984,0.00286263619608371,0,0,0
1600,0.01,13,0.000962769741953438,0.00163058334564561,0.000673263019468692,0,0,0
3200,0.01,13,0.00015633250177206,0.000594051473956448,0.000335506918532224,0,0,0
