"n","lambda","rep","theta","sigma","true_tau","bias","ci_lower","ci_upper","ci_width","coverage","mean_score","sd_score"
3200,0.05,6,0.14578692809549,0.649876910146754,0.15,-0.00421307190450962,0.123270255717267,0.168303600473714,0.0450333447564469,1,2.88738651044174e-15,0.649978477219372
800,0.1,6,0.121579214039395,0.633121639291096,0.15,-0.0284207859606051,0.0777069289807915,0.165451499097998,0.0877445701172067,1,1.1731587923336e-15,0.633517711672214
1600,0.1,6,0.123269563377183,0.633427745039596,0.15,-0.026730436622817,0.0922321742000323,0.154306952554334,0.0620747783543014,1,1.07344688693445e-15,0.633625784045541
3200,0.1,6,0.153279020528206,0.654421161136262,0.15,0.00327902052820614,0.130604900779354,0.175953140277059,0.0453482394977051,1,2.92526419753969e-16,0.654523438414549
800,0.01,7,0.158962443448773,0.662767680387475,0.15,0.00896244344877295,0.113035830303555,0.204889056593991,0.0918532262904366,1,4.78089789979208e-16,0.663182298933118
1600,0.01,7,0.137470754775042,0.650503069583939,0.15,-0.0125292452249578,0.10559669006961,0.169344819480474,0.0637481294108636,1,-1.05193631583234e-15,0.650706447131376
3200,0.01,7,0.152908298102906,0.646511344238823,0.15,0.00290829810290597,0.130508234491255,0.175308361714557,0.0448001272233018,1,-4.14529521819418e-15,0.646612385318479
800,0.05,7,0.0944026856230031,0.597580958235453,0.15,-0.0555973143769969,0.0529931988541501,0.135812172391856,0.082818973537706,0,7.29537957822046e-17,0.597954796844578
1600,0.05,7,0.149230196593387,0.660321042422506,0.15,-0.000769803406612563,0.116875060058836,0.181585333127939,0.0647102730691028,1,-4.99357499794684e-16,0.660527489525383
3200,0.05,7,0.150429915282264,0.640251735452687,0.15,0.000429915282264076,0.128246732064504,0.172613098500024,0.0443663664355198,1,-1.01828268039839e-15,0.640351798239177
800,0.1,7,0.187659100075965,0.688470570768499,0.15,0.0376591000759651,0.139951400226952,0.235366799924978,0.0954153996980268,1,1.8055695827357e-15,0.688901268696623
1600,0.1,7,0.142136949979527,0.649332785601141,0.15,-0.00786305002047327,0.110320228135544,0.173953671823509,0.0636334436879653,1,4.14251966063262e-17,0.649535797263317
3200,0.1,7,0.165742051536675,0.67171524501393,0.15,0.0157420515366747,0.142468733363205,0.189015369710144,0.0465466363469393,1,-4.82330755197102e-15,0.67182022512632
800,0.01,8,0.138441919394196,0.641718444249107,0.15,-0.0115580806058042,0.0939739170921677,0.182909921696224,0.0889360046040563,1,2.07368844318268e-16,0.642119894675767
1600,0.01,8,0.168708948255116,0.667871444707573,0.15,0.0187089482551157,0.135983848806876,0.201434047703355,0.0654501988964788,1,1.71966607620533e-15,0.668080252417757
3200,0.01,8,0.141384442226214,0.6435030186292,0.15,-0.00861555777378648,0.119088609863744,0.163680274588683,0.0445916647249385,1,-2.33025404527965e-15,0.643603589547782
